zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
0,2 BHK Apartment for Sale in Andheri East Mumbai,682 sqft,Lok Yamuna,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.80 Cr 
1,2 BHK Apartment for Sale in Andheri East Mumbai,670 sqft,,Ready to Move,Resale,Furnished,,2,2 Cr 
2,4 BHK Apartment for Sale in Andheri East Mumbai,1499 sqft,Lilium Lantana,Ready to Move,Resale,Furnished,,4,6.05 Cr 
3,1 BHK House for Sale in Andheri East Mumbai,430 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,1,95 Lac
4,3 BHK Apartment for Sale in Andheri East Mumbai,900 sqft,,Ready to Move,New Property,Unfurnished,1 Covered,3,2.70 Cr 
5,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.35 Cr 
6,1 BHK Apartment for Sale in Andheri East Mumbai,270 sqft,,Ready to Move,Resale,Unfurnished,,2,60 Lac 
7,2 BHK Apartment for Sale in Andheri East Mumbai,630 sqft,Akruti Orchid Park,Ready to Move,Resale,Semi-Furnished,,2,1.70 Cr 
8,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,1.35 Cr 
9,4 BHK Apartment for Sale in Andheri East Mumbai,,Oberoi Prisma,Ready to Move,Resale,Semi-Furnished,,5,7 Cr 
10,1 BHK Apartment for Sale in Andheri East Mumbai,486 sqft,Gopeshwar Apartments,Ready to Move,Resale,Unfurnished,,2,1.35 Cr 
11,1 BHK Apartment for Sale in Andheri East Mumbai,,Siddhivinayak Apartment,Ready to Move,Resale,,,,55 Lac 
12,2 BHK Apartment for Sale in Andheri East Mumbai,827 sqft,,Ready to Move,Resale,Unfurnished,1 Open,2,1.85 Cr 
13,2 BHK Apartment for Sale in Andheri East Mumbai,,Blue Meadows,Ready to Move,Resale,Furnished,1 Open,2,1.89 Cr 
14,1 BHK Apartment for Sale in Andheri East Mumbai,412 sqft,Starwing Kaatyayni Heights,Ready to Move,Resale,Semi-Furnished,,2,1.45 Cr 
15,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,2.55 Cr 
16,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,1 Open,2,1.55 Cr 
17,3 BHK Apartment for Sale in Andheri East Mumbai,950 sqft,Poonam Sagar Chsl,Ready to Move,Resale,Furnished,,2,2.10 Cr 
18,2 BHK Apartment for Sale in Andheri East Mumbai,,Aakruti Atria,Ready to Move,Resale,Furnished,"1 Covered,",2,3 Cr 
19,4 BHK House for Sale in Andheri East Mumbai,500 sqft,,Ready to Move,Resale,Unfurnished,,2,80 Lac 
20,3 BHK Apartment for Sale in Andheri East Mumbai,850 sqft,,Ready to Move,Resale,Unfurnished,,3,2.35 Cr 
21,1 BHK Apartment for Sale in Andheri East Mumbai,,Ashish Apartment,Ready to Move,Resale,Furnished,,1,80 Lac 
22,1 BHK Apartment for Sale in Andheri East Mumbai,620 sqft,Joy Callista,Ready to Move,Resale,Semi-Furnished,,2,1.85 Cr 
23,3 BHK Apartment for Sale in Andheri East Mumbai,1100 sqft,Shree Vastu Enclave,Ready to Move,Resale,Unfurnished,,3,2.70 Cr 
24,2 BHK Apartment for Sale in Andheri East Mumbai,1105 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.10 Cr 
25,2 BHK Apartment for Sale in Andheri East Mumbai,640 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.85 Cr 
26,4 BHK Apartment for Sale in Andheri East Mumbai,,Kanakia Rainforest,Ready to Move,Resale,Semi-Furnished,3 Covered,4,3.70 Cr 
27,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,Swapnalok Apartments,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.25 Cr 
28,2 BHK Apartment for Sale in Andheri East Mumbai,750 sqft,,Ready to Move,Resale,Semi-Furnished,2 Open,2,1.85 Cr 
29,2 BHK Apartment for Sale in Andheri East Mumbai,800 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.60 Cr 
30,3 BHK Apartment for Sale in Andheri East Mumbai,889 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.95 Cr 
31,2 BHK Apartment for Sale in Andheri East Mumbai,743 sqft,Green Woods Chkala,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.70 Cr 
32,2 BHK Apartment for Sale in Andheri East Mumbai,630 sqft,Harmony Apartments Co Operative Housing Society Ltd,Ready to Move,Resale,Semi-Furnished,,2,1.50 Cr 
33,1 BHK Apartment for Sale in Andheri East Mumbai,470 sqft,Dheeraj Darshan,Ready to Move,Resale,Unfurnished,,1,1.25 Cr 
34,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,1,1.35 Cr 
35,2 BHK Apartment for Sale in Andheri East Mumbai,760 sqft,,Ready to Move,Resale,Unfurnished,,2,2.45 Cr 
36,1 BHK Apartment for Sale in Andheri East Mumbai,380 sqft,,Ready to Move,Resale,Unfurnished,,2,1.10 Cr 
37,2 BHK Builder Floor for Sale in Andheri East Mumbai,,Jumbo Darshan,Ready to Move,Resale,Semi-Furnished,,2,2.10 Cr 
38,1 BHK Apartment for Sale in Andheri East Mumbai,325 sqft,Mahakali CHS,Ready to Move,Resale,Unfurnished,,1,69 Lac 
39,2 BHK Apartment for Sale in Andheri East Mumbai,572 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,1,1.55 Cr 
40,4 BHK Penthouse for Sale in Andheri East Mumbai,4218 sqft,,Ready to Move,Resale,Semi-Furnished,5 Covered,5,13.25 Cr 
41,2 BHK Apartment for Sale in Andheri East Mumbai,650 sqft,,Ready to Move,Resale,Furnished,1 Open,2,1.90 Cr 
42,2 BHK Apartment for Sale in Andheri East Mumbai,710 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2 Cr 
43,2 BHK Apartment for Sale in Andheri East Mumbai,500 sqft,The Baya Goldspot,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.60 Cr 
44,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Semi-Furnished,,1,1.20 Cr 
45,2 BHK Apartment for Sale in Andheri East Mumbai,675 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2 Cr 
46,3 BHK Apartment for Sale in Andheri East Mumbai,1040 sqft,,Ready to Move,New Property,Unfurnished,1 Open,3,1.90 Cr 
47,3 BHK Apartment for Sale in Andheri East Mumbai,1325 sqft,,Ready to Move,Resale,Unfurnished,,3,3.75 Cr 
48,3 BHK Apartment for Sale in Andheri East Mumbai,850 sqft,Raj Paradise,Ready to Move,Resale,Semi-Furnished,1 Open,4,2.35 Cr 
49,3 BHK Apartment for Sale in Andheri East Mumbai,1200 sqft,Vastu Labh,Ready to Move,Resale,Semi-Furnished,1 Covered,3,2.25 Cr 
50,3 BHK Apartment for Sale in Andheri East Mumbai,1226 sqft,,Ready to Move,Resale,Unfurnished,2 Covered,3,3.87 Cr 
51,1 BHK Apartment for Sale in Andheri East Mumbai,250 sqft,,Ready to Move,Resale,Unfurnished,,1,50 Lac 
52,2 BHK Apartment for Sale in Andheri East Mumbai,,Nikita Apartments,Ready to Move,Resale,Semi-Furnished,,2,1.70 Cr 
53,2 BHK Apartment for Sale in Andheri East Mumbai,720 sqft,Ackruti Niharika,Ready to Move,Resale,Semi-Furnished,1 Covered,2,3.15 Cr 
54,2 BHK Apartment for Sale in Andheri East Mumbai,925 sqft,Marol Crescent Apartment,Ready to Move,Resale,Furnished,1 Covered,2,1.90 Cr 
55,1 BHK Apartment for Sale in Andheri East Mumbai,525 sqft,Vastu Siddhi,Ready to Move,Resale,Furnished,1 Open,2,1.40 Cr 
56,2 BHK Apartment for Sale in Andheri East Mumbai,533 sqft,The Baya Goldspot,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.62 Cr 
57,1 BHK Apartment for Sale in Andheri East Mumbai,490 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.40 Cr 
58,2 BHK Apartment for Sale in Andheri East Mumbai,818 sqft,VKG Krishna Residences,Ready to Move,Resale,Semi-Furnished,1 Covered,2,2.72 Cr 
59,2 BHK Apartment for Sale in Andheri East Mumbai,,Trupti CHS,Ready to Move,Resale,Semi-Furnished,,2,1.95 Cr 
60,2 BHK Apartment for Sale in Andheri East Mumbai,,Hari Dham CHS,Ready to Move,Resale,Furnished,,2,1.70 Cr 
61,3 BHK Apartment for Sale in Andheri East Mumbai,1050 sqft,Acme Amartaru VII,Ready to Move,Resale,Furnished,"1 Covered,",3,4.55 Cr 
62,1 BHK Apartment for Sale in Andheri East Mumbai,430 sqft,,Ready to Move,Resale,Unfurnished,,1,80 Lac 
63,1 BHK Apartment for Sale in Andheri East Mumbai,225 sqft,Ackruti Star,Ready to Move,Resale,Semi-Furnished,,1,45 Lac 
64,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Semi-Furnished,,2,1.20 Cr 
65,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,,Ready to Move,Resale,Furnished,,2,1.55 Cr 
66,1 BHK Apartment for Sale in Andheri East Mumbai,600 sqft,Campaz Landmark,Ready to Move,Resale,Semi-Furnished,,2,1.55 Cr 
67,2 BHK Apartment for Sale in Andheri East Mumbai,807 sqft,Serenity Heights,Ready to Move,Resale,Furnished,,2,1.99 Cr 
68,2 BHK Apartment for Sale in Andheri East Mumbai,,Sidhant Complex,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.25 Cr 
69,2 BHK Apartment for Sale in Andheri East Mumbai,692 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.50 Cr 
70,1 BHK Apartment for Sale in Andheri East Mumbai,312 sqft,Gloriosa Parijat CHS SRA,Ready to Move,Resale,,1 Covered,1,90 Lac 
71,1 BHK Apartment for Sale in Andheri East Mumbai,464 sqft,Uttarayan CHS,Ready to Move,Resale,Semi-Furnished,,1,99 Lac 
72,3 BHK Apartment for Sale in Andheri East Mumbai,1038 sqft,Hillcrest,Ready to Move,New Property,Unfurnished,,3,2.40 Cr 
73,4 BHK Apartment for Sale in Andheri East Mumbai,1400 sqft,,Ready to Move,Resale,Furnished,1 Open,3,4.50 Cr 
74,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,2,1.35 Cr 
75,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,Poonam Kirti,Ready to Move,Resale,Furnished,,2,1.80 Cr 
76,1 BHK Apartment for Sale in Andheri East Mumbai,,Lok Darshan,Ready to Move,Resale,Furnished,,1,1.08 Cr 
77,1 BHK Apartment for Sale in Andheri East Mumbai,380 sqft,SA Suhana Apartment,Ready to Move,Resale,Unfurnished,2 Open,1,1.30 Cr 
78,2 BHK Apartment for Sale in Andheri East Mumbai,320 sqft,Hubtown Palmrose,Ready to Move,Resale,Unfurnished,,2,99 Lac 
79,1 BHK Apartment for Sale in Andheri East Mumbai,570 sqft,Crescent Exotica,Ready to Move,New Property,Unfurnished,,2,1.25 Cr 
80,3 BHK Apartment for Sale in Andheri East Mumbai,1200 sqft,,Ready to Move,Resale,Furnished,1 Covered,3,3.15 Cr 
81,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,1.95 Cr 
82,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,,Ready to Move,Resale,Unfurnished,,2,1.40 Cr 
83,2 BHK Apartment for Sale in Andheri East Mumbai,500 sqft,Dhake Nagar,Ready to Move,Resale,Semi-Furnished,,2,1.18 Cr 
84,3 BHK Apartment for Sale in Andheri East Mumbai,1300 sqft,,Ready to Move,Resale,Furnished,,4,2.15 Cr 
85,1 BHK Apartment for Sale in Andheri East Mumbai,525 sqft,,Ready to Move,Resale,Furnished,1 Open,1,1.30 Cr 
86,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Semi-Furnished,,1,1.15 Cr 
87,1 BHK Apartment for Sale in Andheri East Mumbai,390 sqft,,Ready to Move,Resale,Unfurnished,,1,1.40 Cr 
88,2 BHK Apartment for Sale in Andheri East Mumbai,,,,Resale,Unfurnished,,2,2 Cr 
89,2 BHK Apartment for Sale in Andheri East Mumbai,690 sqft,Minal Apartment,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.70 Cr 
90,1 BHK House for Sale in Andheri East Mumbai,365 sqft,,Ready to Move,Resale,Semi-Furnished,,2,48 Lac 
91,3 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,3,2.61 Cr 
92,2 BHK Apartment for Sale in Andheri East Mumbai,,Green Woods Chkala,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.70 Cr 
93,2 BHK Apartment for Sale in Andheri East Mumbai,,SIV Akhand Anand,Ready to Move,Resale,Unfurnished,,2,2.45 Cr 
94,2 BHK Apartment for Sale in Andheri East Mumbai,640 sqft,Milind Mahalaxmi Tower,Ready to Move,Resale,Unfurnished,,2,1.90 Cr 
95,2 BHK Apartment for Sale in Andheri East Mumbai,548 sqft,Veesita Residency,Ready to Move,Resale,Unfurnished,,2,1.70 Cr 
96,3 BHK Apartment for Sale in Andheri East Mumbai,1150 sqft,,Ready to Move,Resale,Unfurnished,3 Open,3,3.25 Cr 
97,1 BHK Apartment for Sale in Andheri East Mumbai,485 sqft,,Ready to Move,Resale,Unfurnished,,1,1 Cr 
98,1 BHK Apartment for Sale in Andheri East Mumbai,620 sqft,Accord,Ready to Move,Resale,Furnished,,2,1.65 Cr 
99,2 BHK Apartment for Sale in Andheri East Mumbai,831 sqft,Vasant Oasis,Ready to Move,Resale,Furnished,2 Covered,2,2.65 Cr 
100,1 BHK Apartment for Sale in Andheri East Mumbai,454 sqft,Akruti Orchid Park,Ready to Move,Resale,Semi-Furnished,,2,1.20 Cr 
101,2 BHK Apartment for Sale in Andheri East Mumbai,1060 sqft,Siroya New Jagdamba,Ready to Move,Resale,Furnished,1 Covered,2,3.61 Cr 
102,3 BHK Apartment for Sale in Andheri East Mumbai,1000 sqft,,Ready to Move,Other,Furnished,,3,3.25 Cr 
103,Studio Apartment for Sale in Andheri East Mumbai,250 sqft,,,New Property,Semi-Furnished,,1,60 Lac 
104,2 BHK Apartment for Sale in Andheri East Mumbai,770 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.85 Cr 
105,2 BHK Apartment for Sale in Andheri East Mumbai,815 sqft,Sher e Punjab,Ready to Move,Resale,Furnished,,2,1.45 Cr 
106,3 BHK Apartment for Sale in Andheri East Mumbai,857 sqft,Vijay Laxmi Sai Elegance,Ready to Move,Resale,Furnished,,3,2.75 Cr 
107,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,,Ready to Move,Resale,Furnished,2 Open,1,1.25 Cr 
108,2 BHK Apartment for Sale in Andheri East Mumbai,660 sqft,,Ready to Move,Resale,Unfurnished,,2,1.70 Cr 
109,1 BHK House for Sale in Andheri East Mumbai,240 sqft,,Ready to Move,Resale,Unfurnished,,1,40 Lac 
110,2 BHK Apartment for Sale in Andheri East Mumbai,650 sqft,,Ready to Move,Resale,Unfurnished,,1,1.80 Cr 
111,1 BHK Apartment for Sale in Andheri East Mumbai,,Avant Heritage,Ready to Move,Resale,Furnished,1 Covered,2,1.50 Cr 
112,2 BHK Apartment for Sale in Andheri East Mumbai,825 sqft,Twin Tower CHS Ltd,Ready to Move,Resale,Furnished,1 Open,2,2.12 Cr 
113,Plot/Land for Sale in Andheri East Mumbai,,,,New Property,,,,4.6 Lac 
114,1 BHK Apartment for Sale in Andheri East Mumbai,408 sqft,The Baya Goldspot,Ready to Move,Resale,Furnished,,2,1.30 Cr 
115,2 BHK Apartment for Sale in Andheri East Mumbai,,Manavsthal Height,Ready to Move,Resale,Furnished,,1,1.15 Cr 
116,2 BHK Apartment for Sale in Andheri East Mumbai,750 sqft,Woodwind,Ready to Move,Resale,Furnished,1 Covered,2,1.85 Cr 
117,2 BHK Apartment for Sale in Andheri East Mumbai,,,,Resale,Semi-Furnished,,1,2 Cr 
118,1 BHK Apartment for Sale in Andheri East Mumbai,600 sqft,Marvel Twin Tower,Ready to Move,New Property,Semi-Furnished,1 Open,2,1.35 Cr 
119,1 BHK House for Sale in Andheri East Mumbai,,,,Resale,Unfurnished,,1,35 Lac 
120,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,1,1.20 Cr 
121,1 BHK House for Sale in Andheri East Mumbai,250 sqft,,Ready to Move,Resale,Semi-Furnished,,1,28 Lac 
122,1 BHK Apartment for Sale in Andheri East Mumbai,335 sqft,S A Sneh Kutir,Ready to Move,Resale,Unfurnished,,2,90 Lac 
123,2 BHK House for Sale in Andheri East Mumbai,650 sqft,Orbit The Chakravarti Ashok CHS,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.95 Cr 
124,5 BHK Apartment for Sale in Andheri East Mumbai,1300 sqft,Sher e Punjab,Ready to Move,Resale,Semi-Furnished,2 Open,4,4.40 Cr 
125,3 BHK Apartment for Sale in Andheri East Mumbai,1050 sqft,Poonam Darshan,Ready to Move,Resale,Furnished,1 Open,3,2.85 Cr 
126,1 BHK Apartment for Sale in Andheri East Mumbai,451 sqft,,Ready to Move,Other,Unfurnished,,2,1.35 Cr 
127,1 BHK Apartment for Sale in Andheri East Mumbai,510 sqft,,Ready to Move,Resale,Semi-Furnished,,1,1.50 Cr 
128,2 BHK Apartment for Sale in Andheri East Mumbai,780 sqft,Ashok Nagar Complex,Ready to Move,Resale,Unfurnished,,2,1.90 Cr 
129,2 BHK Apartment for Sale in Andheri East Mumbai,682 sqft,,ConstructionPoss. by Aug '23,Resale,Unfurnished,,2,1.67 Cr 
130,1 BHK Apartment for Sale in Andheri East Mumbai,305 sqft,,Ready to Move,Resale,Unfurnished,1 Open,1,90 Lac 
131,1 BHK Apartment for Sale in Andheri East Mumbai,,Gundecha Asta,Ready to Move,Resale,Semi-Furnished,,2,1.06 Cr 
132,1 BHK Apartment for Sale in Andheri East Mumbai,,Green Fields,Ready to Move,Resale,Furnished,1 Open,2,1.25 Cr 
133,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,,Ready to Move,Resale,Unfurnished,,2,1.25 Cr 
134,2 BHK Apartment for Sale in Andheri East Mumbai,640 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.75 Cr 
135,2 BHK Apartment for Sale in Andheri East Mumbai,510 sqft,Vastu Shanti,Ready to Move,Resale,Semi-Furnished,,2,1.30 Cr 
136,2 BHK Apartment for Sale in Andheri East Mumbai,675 sqft,Chamunda Heritage,Ready to Move,Resale,Semi-Furnished,1 Open,2,2.20 Cr 
137,2 BHK Apartment for Sale in Andheri East Mumbai,850 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.10 Cr 
138,1 BHK House for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,1,11 Lac 
139,1 BHK Apartment for Sale in Andheri East Mumbai,477 sqft,Astron Apartment,Ready to Move,Resale,Semi-Furnished,1 Covered,1,1.10 Cr 
140,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,,Ready to Move,Resale,Unfurnished,,1,1.25 Cr 
141,2 BHK Apartment for Sale in Andheri East Mumbai,565 sqft,,Ready to Move,Resale,Unfurnished,1 Open,2,1.40 Cr 
142,2 BHK Apartment for Sale in Andheri East Mumbai,776 sqft,Bajaj Emerald,Ready to Move,New Property,Unfurnished,,3,2.50 Cr 
143,3 BHK Apartment for Sale in Andheri East Mumbai,900 sqft,Ashok tower,Ready to Move,Resale,Unfurnished,,3,2.05 Cr 
144,1 BHK Apartment for Sale in Andheri East Mumbai,500 sqft,Trans Apartment,Ready to Move,Resale,Unfurnished,,1,1.20 Cr 
145,1 BHK Apartment for Sale in Andheri East Mumbai,,Blue Monarch,Ready to Move,Resale,Semi-Furnished,,2,1.30 Cr 
146,2 BHK Apartment for Sale in Andheri East Mumbai,660 sqft,,Ready to Move,Resale,Unfurnished,,1,1.59 Cr 
147,3 BHK Apartment for Sale in Andheri East Mumbai,1070 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,3,3 Cr 
148,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,Mahindra Vivante,Ready to Move,Resale,Unfurnished,,1,1.60 Cr 
149,2 BHK Apartment for Sale in Andheri East Mumbai,710 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,2,1.80 Cr 
150,6 BHK Villa for Sale in Andheri East Mumbai,5000 sqft,,Ready to Move,Resale,Furnished,,5,9.50 Cr 
151,1 BHK Apartment for Sale in Andheri East Mumbai,436 sqft,The Baya Goldspot,Ready to Move,Resale,Semi-Furnished,,2,1.22 Cr 
152,3 BHK Apartment for Sale in Andheri East Mumbai,1050 sqft,,Ready to Move,Resale,Unfurnished,,3,3.65 Cr 
153,1 BHK Apartment for Sale in Andheri East Mumbai,490 sqft,,Ready to Move,Resale,Furnished,,2,1.45 Cr 
154,2 BHK Apartment for Sale in Andheri East Mumbai,660 sqft,Ashok Avenue,Ready to Move,Resale,Unfurnished,,2,1.57 Cr 
155,1 BHK Apartment for Sale in Andheri East Mumbai,565 sqft,Crystal Enclave,Ready to Move,Resale,Furnished,,1,1 Cr 
156,1 BHK Apartment for Sale in Andheri East Mumbai,435 sqft,Vasant Oasis,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.40 Cr 
157,1 BHK Apartment for Sale in Andheri East Mumbai,482 sqft,Naman Premier,Ready to Move,Resale,Unfurnished,1 Covered,2,1.55 Cr 
158,3 BHK Apartment for Sale in Andheri East Mumbai,1304 sqft,Vasant Oasis,Ready to Move,Resale,Semi-Furnished,,3,4.15 Cr 
159,1 BHK Apartment for Sale in Andheri East Mumbai,393 sqft,,Ready to Move,Resale,Unfurnished,1 Open,1,1 Cr 
160,1 BHK Apartment for Sale in Andheri East Mumbai,,Kanakia Sevens,Ready to Move,Resale,Unfurnished,,1,1.30 Cr 
161,1 BHK Apartment for Sale in Andheri East Mumbai,308 sqft,Swapnalok Apartments,Ready to Move,Resale,Semi-Furnished,,1,83 Lac 
162,2 BHK Apartment for Sale in Andheri East Mumbai,,Dheeraj Garden,Ready to Move,Resale,Semi-Furnished,,2,2.15 Cr 
163,1 BHK Apartment for Sale in Andheri East Mumbai,460 sqft,Mahavir Classik,Ready to Move,Resale,Furnished,502 Covered,2,1.30 Cr 
164,1 BHK Apartment for Sale in Andheri East Mumbai,450 sqft,,Ready to Move,Resale,Furnished,,1,1 Cr 
165,2 BHK Apartment for Sale in Andheri East Mumbai,696 sqft,,Ready to Move,Resale,Unfurnished,2 Covered,2,2.40 Cr 
166,1 BHK Apartment for Sale in Andheri East Mumbai,525 sqft,,Ready to Move,Resale,Unfurnished,,1,1.30 Cr 
167,2 BHK Apartment for Sale in Andheri East Mumbai,750 sqft,,Ready to Move,Resale,Semi-Furnished,1 Covered,2,2.40 Cr 
168,1 BHK Apartment for Sale in Andheri East Mumbai,,Bindra Sateri Legacy,,Resale,Unfurnished,,2,85 Lac 
169,2 BHK Apartment for Sale in Andheri East Mumbai,900 sqft,Green Woods Chkala,Ready to Move,Resale,Furnished,,2,2.75 Cr 
170,2 BHK Apartment for Sale in Andheri East Mumbai,848 sqft,,Ready to Move,Resale,Semi-Furnished,1 Covered,2,2.20 Cr 
171,2 BHK Apartment for Sale in Andheri East Mumbai,710 sqft,K Raheja Vihar,Ready to Move,Resale,Semi-Furnished,,2,1.66 Cr 
172,5 BHK Apartment for Sale in Andheri East Mumbai,,Sher e Punjab,Ready to Move,Resale,Semi-Furnished,,4,3 Cr 
173,1 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,,1,82 Lac 
174,2 BHK Apartment for Sale in Andheri East Mumbai,700 sqft,,Ready to Move,Resale,Furnished,1 Open,2,2.22 Cr 
175,2 BHK Apartment for Sale in Andheri East Mumbai,650 sqft,Nilgiri C Wing CHS,Ready to Move,Resale,Semi-Furnished,,2,1.39 Cr 
176,1 BHK Apartment for Sale in Andheri East Mumbai,,Vikas Towers,Ready to Move,Resale,Furnished,,2,1.35 Cr 
177,1 BHK House for Sale in Andheri East Mumbai,300 sqft,,Ready to Move,Resale,Semi-Furnished,,1,1.10 Cr 
178,4 BHK House for Sale in Andheri East Mumbai,2600 sqft,Hubtown Sunmist,Ready to Move,New Property,Unfurnished,3 Covered,4,12 Cr 
179,2 BHK Apartment for Sale in Andheri East Mumbai,,Blue Meadows,Ready to Move,Resale,Furnished,,2,2 Cr 
180,1 BHK Builder Floor for Sale in Andheri East Mumbai,472 sqft,,Ready to Move,Resale,Unfurnished,,2,1.32 Cr 
181,2 BHK House for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Unfurnished,2 Covered,2,3.25 Cr 
182,2 BHK Apartment for Sale in Andheri East Mumbai,727 sqft,Blue Monarch,Ready to Move,Resale,Furnished,,2,1.70 Cr 
183,3 BHK Apartment for Sale in Andheri East Mumbai,,Bajaj Emerald,Ready to Move,Resale,Unfurnished,,3,3.60 Cr 
184,2 BHK Apartment for Sale in Andheri East Mumbai,682 sqft,Green Fields,Ready to Move,Resale,Furnished,,2,2.10 Cr 
185,1 BHK Apartment for Sale in Andheri East Mumbai,,Project Sakinaka,Ready to Move,Resale,Semi-Furnished,2 Open,1,1 Cr 
186,2 BHK Apartment for Sale in Andheri East Mumbai,680 sqft,Ashok tower,Ready to Move,Resale,Furnished,,2,2 Cr 
187,2 BHK Apartment for Sale in Andheri East Mumbai,786 sqft,Serenity Heights,Ready to Move,Resale,Unfurnished,,2,1.97 Cr 
188,1 BHK Apartment for Sale in Andheri East Mumbai,470 sqft,Eco Heights,Ready to Move,Resale,Unfurnished,,2,1.55 Cr 
189,3 BHK Apartment for Sale in Andheri East Mumbai,,Akruti Aneri,Ready to Move,Resale,Semi-Furnished,1 Open,3,1.69 Cr 
190,1 BHK Apartment for Sale in Andheri East Mumbai,250 sqft,,Ready to Move,Resale,Unfurnished,,1,45 Lac 
191,3 BHK Apartment for Sale in Andheri East Mumbai,1580 sqft,Maharaja CHS Ltd,Ready to Move,Resale,Semi-Furnished,,3,3.20 Cr 
192,2 BHK Apartment for Sale in Andheri East Mumbai,675 sqft,,Ready to Move,New Property,Furnished,,1,1.35 Cr 
193,3 BHK House for Sale in Andheri East Mumbai,946 sqft,Dsk Madhuban,Ready to Move,Resale,Semi-Furnished,1 Covered,2,2.25 Cr 
194,2 BHK Villa for Sale in Andheri East Mumbai,1500 sqft,,Ready to Move,Resale,Unfurnished,,3,4.40 Cr 
195,2 BHK Apartment for Sale in Andheri East Mumbai,724 sqft,,Ready to Move,Resale,Furnished,1 Covered,2,2.50 Cr 
196,1 BHK Apartment for Sale in Andheri East Mumbai,400 sqft,,Ready to Move,Resale,Semi-Furnished,,1,95 Lac 
197,1 BHK Apartment for Sale in Andheri East Mumbai,424 sqft,Vijaylaxmi Bliss,Ready to Move,New Property,Unfurnished,,2,1.50 Cr 
198,1 BHK Apartment for Sale in Andheri East Mumbai,550 sqft,,Ready to Move,Resale,Unfurnished,,2,1.10 Cr 
199,3 BHK House for Sale in Andheri East Mumbai,703 sqft,,Ready to Move,Resale,Furnished,,2,70 Lac 
200,1 BHK Apartment for Sale in Andheri East Mumbai,462 sqft,Shubham,Ready to Move,Resale,Semi-Furnished,,2,1.35 Cr 
201,2 BHK Apartment for Sale in Andheri East Mumbai,,,Ready to Move,Resale,Furnished,,2,2.30 Cr 
202,1 BHK Apartment for Sale in Andheri East Mumbai,467 sqft,Kanakia Rainforest,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.40 Cr 
