zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6839,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6840,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6841,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6842,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6843,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6844,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6845,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6846,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6847,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6848,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6849,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6850,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6851,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6852,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6853,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6854,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6855,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6856,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6857,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6858,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6859,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6860,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6861,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6862,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6863,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6864,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6865,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6866,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6867,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6868,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6869,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6870,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6871,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6872,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6873,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6874,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6875,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6876,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6877,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6878,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6879,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6880,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6881,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6882,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6883,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6884,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6885,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6886,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6887,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6888,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6889,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6890,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6891,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6892,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6893,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6894,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6895,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6896,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6897,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6898,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6899,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
